"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(1.05,1.1]",1,1.05,1.1,1.075,0.05,0.0113707430780601,"(300,350]",300,350,325
"(1.15,1.2]",1,1.15,1.2,1.175,0.05,0.0113707430780601,"(300,350]",300,350,325
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0113707430780601,"(300,350]",300,350,325
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.1356538527057,"(350,400]",350,400,375
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.567826926352848,"(350,400]",350,400,375
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.13565385270569,"(350,400]",350,400,375
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,1.70348077905854,"(350,400]",350,400,375
"(0.304,0.354]",132,0.304,0.354,0.329,0.05,1.49906308557152,"(350,400]",350,400,375
"(0.354,0.404]",112,0.354,0.404,0.379,0.05,1.27193231503038,"(350,400]",350,400,375
"(0.404,0.454]",54,0.404,0.454,0.429,0.05,0.613253080461076,"(350,400]",350,400,375
"(0.454,0.504]",31,0.454,0.504,0.479,0.05,0.352052694338766,"(350,400]",350,400,375
"(0.504,0.554]",28,0.504,0.554,0.529,0.05,0.317983078757594,"(350,400]",350,400,375
"(0.554,0.604]",9,0.554,0.604,0.579,0.0499999999999999,0.102208846743513,"(350,400]",350,400,375
"(0.604,0.654]",8,0.604,0.654,0.629,0.05,0.0908523082164555,"(350,400]",350,400,375
"(0.654,0.704]",4,0.654,0.704,0.679,0.0499999999999999,0.0454261541082279,"(350,400]",350,400,375
"(0.704,0.754]",3,0.704,0.754,0.729,0.05,0.0340696155811708,"(350,400]",350,400,375
"(0.754,0.804]",3,0.754,0.804,0.779,0.05,0.0340696155811708,"(350,400]",350,400,375
"(0.804,0.854]",3,0.804,0.854,0.829,0.0499999999999999,0.0340696155811709,"(350,400]",350,400,375
"(0.854,0.904]",4,0.854,0.904,0.879,0.05,0.0454261541082278,"(350,400]",350,400,375
"(0.904,0.954]",1,0.904,0.954,0.929,0.0499999999999999,0.011356538527057,"(350,400]",350,400,375
"(0.954,1]",1,0.954,1,0.977,0.046,0.0123440636163662,"(350,400]",350,400,375
